"","variable.name","display.section","definition","code.list","lag","source","validity.years","notes","calculation","display.via.web"
"1"," e_prevtx_kids_pct","Latent TB infection estimates","Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy",NA,NA,"WHO GTB","2015 -",NA,NA,1
"2"," e_prevtx_kids_pct_hi","Latent TB infection estimates","Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy: High bound",NA,NA,"WHO GTB","2015 -",NA,NA,1
"3"," e_prevtx_kids_pct_lo","Latent TB infection estimates","Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy: Low bound",NA,NA,"WHO GTB","2015 -",NA,NA,1
"4","acsm_nonntp_involved","Strategy","Were NGOs and other relevant stakeholders outside the TB National Treatment Programme involved in planning and implementing Advocacy, Communication and Social Mobilization (ACSM) activities?","0=No; 1=yes",0,"Strategy, Data collection form",NA,"NEW VARIABLE",NA,0
"5","age_group","Disaggregated estimates","Age group (in years)","0-4=0-4 years; 5-14=5-14 years; 15-24=15-24 years ..etc; 15plus=15 years and above; 65plus=65 years and above; all=All ages;",0,"WHO GTB","2017 -","Part of long ('tidy') format added in 2018 dcyear",NA,1
"6","agegroup_option","Notification","The set of age groups by which notifications have been disaggregated","220=all defined in 2013 reporting framework plus 4-9 10-14 15-19 20-24 age groups; 221=all; 222=all except for 5-9 and 10-14 age groups; 223=only 0-4 5-14 and 15+ age groups",0,"Notification, Data collection form","2019 -","Introduced to allow more flexible form for country data entry especially with the introduction of adolescent age groups for countries with case-based systems",NA,1
"7","all_conf_xdr","Notification","Number of laboratory-confirmed XDR-TB cases identified in the current year (including in MDR cases diagnosed in previous years).",NA,0,NA,"2015-2019","Dropped dcyear 2021",NA,1
"8","bc","Prevalence surveys","Number of pulmonary bacteriologically-confirmed cases found among participants in the prevalence survey",NA,NA,"External (from prevalence survey reports and analyses)",NA,NA,NA,0
"9","bc_(numbers)","Prevalence surveys","Number of pulmonary bacteriologically-confirmed cases found among the age group indicated by the numbers after sp_ (e.g. bc_10_14 is for age group 10 - 14 years)",NA,NA,"External (from prevalence survey reports and analyses)",NA,NA,NA,0
"10","bc_cxr_abn_only","Prevalence surveys","Number of pulmonary bacteriologically-confirmed cases found who had screened positive for chest x-ray abnormalities only without screening positive for symptoms",NA,NA,"External (from prevalence survey reports and analyses)",NA,NA,NA,0
