"","group.type","group.name","group.description"
"1","g_whoregion","AFR","WHO African Region"
"2","g_whoregion","AMR","WHO/PAHO Region of the Americas"
"3","g_whoregion","EMR","WHO Eastern Mediterranean Region"
"4","g_whoregion","EUR","WHO European Region"
"5","g_whoregion","SEA","WHO South-East Asia Region"
"6","g_whoregion","WPR","WHO Western Pacific Region"
"7","g_est","AFRhigh","Africa high-HIV Epidemiological Group"
"8","g_est","AFRlow","Africa low-HIV Epidemiological Group"
"9","g_est","CEUR","Central Europe Epidemiological Group"
"10","g_est","EEUR","Eastern Europe Epidemiological Group"
"11","g_est","EME","Established Market Economies Epidemiological Group"
"12","g_est","EMR","Eastern Mediterranean Epidemiological Group"
"13","g_est","LAC","Latin America Epidemiological Group"
"14","g_est","SEAR","South-East Asia Epidemiological Group"
"15","g_est","WPR","Western Pacific Epidemiological Group"
"16","g_income","HIC","World Bank high-income economies (GNI per capita of more than USD 13,845 in 2022)"
"17","g_income","UMC","World Bank upper middle-income economies (GNI per capita of USD 4,466 - 13,845 in 2022)"
"18","g_income","LMC","World Bank lower middle-income economies (GNI per capita of USD 1,136 - 4,465 in 2022)"
"19","g_income","LIC","World Bank low-income economies (GNI per capita of USD 1,135 or less in 2022)"
"20","global","global","Global"
"21","g_mdgdev_status","514","Developed regions (MDG)"
"22","g_mdgregion","172A","CIS in Asia MDG Regional Grouping"
"23","g_mdgregion","172B","CIS in Europe MDG Regional Grouping"
"24","g_mdgregion","746","Northern Africa MDG Regional Grouping"
"25","g_mdgregion","738","Sub-Saharan Africa MDG Regional Grouping"
"26","g_mdgregion","419A","Latin America MDG Regional Grouping (deprecated 2017)"
"27","g_mdgregion","029","Caribbean MDG Regional Grouping (deprecated 2017)"
"28","g_mdgregion","518","Eastern Asia MDG Regional Grouping"
"29","g_mdgregion","034","Southern Asia MDG Regional Grouping (deprecated 2017)"
"30","g_mdgregion","035","South-Eastern Asia MDG Regional Grouping (deprecated 2017)"
"31","g_mdgregion","485","Western Asia MDG Regional Grouping"
"32","g_mdgregion","009","Oceania MDG Regional Grouping (deprecated 2017)"
"33","g_mdgdev","199","Least Developed Countries (LDCs) MDG Development Subgroup"
"34","g_mdgdev","778","Transition Countries of South-Eastern Europe MDG Development Subgroup"
"35","g_mdgdev_geog","432","Landlocked Developing Countries (LLDCs) MDG Geographic Characteristic Subgroup"
"36","g_mdgdev_geog","722","Small Island Developing States (SIDS) MDG Geographic Characteristic Subgroup"
"37","g_mdgregion","172","Countries of the Commonwealth of Independent States (CIS) MDG Regional Grouping = (172A + 172B)"
"38","g_mdgregion","419","Latin America and the Caribbean MDG Regional Grouping = (419A + 029)"
"39","g_mdgdev_status","515","Developing regions (MDG)"
"40","g_gbd","ASIAPAC_hi_income","Asia Pacific High Income Global Burden of Disease Group"
"41","g_gbd","ASIA_CENT","Asia Central Global Burden of Disease Group"
"42","g_gbd","ASIA_EAST","Asia East Global Burden of Disease Group"
"43","g_gbd","ASIA_SOUTH","Asia South Global Burden of Disease Group"
"44","g_gbd","ASIA_SEAST","Asia South-East Global Burden of Disease Group"
"45","g_gbd","AUSTRALASIA","Australasia Global Burden of Disease Group"
"46","g_gbd","CARIBBEAN","Caribbean Global Burden of Disease Group"
"47","g_gbd","EUR_CENT","Europe Central Global Burden of Disease Group"
"48","g_gbd","EUR_EAST","Europe East Global Burden of Disease Group"
