"","country","year","iso2","iso3","iso.numeric","g.whoregion","service.changes","opd.visits.down.ds","opd.visits.down.dr","drugs.up","nominate.collect","drugs.home.delivery","remote.advice.up","opd.places.down.ds","opd.places.down.dr","hosp.places.down.ds","hosp.places.down.dr","other.service.changes","tb.self.isolation","resource.reallocated","gxp.reassigned","ntp.central.reassigned","ntp.periph.reassigned","budget.reallocated","other.reallocation","nsp.end.tb","nsp.updated.unhlm","nsp.civil.soc","annual.report.published","ms.review","ms.review.doc","ms.review.civil.soc","ms.review.recs.published","ms.review.recs.url","min.agg.collab","min.def.collab","min.edu.collab","min.fin.collab","min.jus.collab","min.lab.collab","min.dev.collab","min.tra.collab","other.min.collab","social.protn","free.access","free.access.tbdx","free.access.tbtx","enable.tx.adherence","cond.cash.trans","cash.trans","food.security","other.social.protn","protect.employment","protect.housing","protect.parenting","protect.movement","protect.association"
"1","Aruba",2020,"AW","ABW",533,"AMR",1,1,1,0,1,1,0,0,0,1,1,NA,0,1,1,1,1,1,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Aruba",2021,"AW","ABW",533,"AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Aruba",2022,"AW","ABW",533,"AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Aruba",2023,"AW","ABW",533,"AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,6,6,6,231,231,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Afghanistan",2020,"AF","AFG",4,"EMR",1,1,1,1,1,1,1,0,0,1,1,"Two PMDT sites, NRL and RRL facility and these staff, NTP main offices and  some NTP central and provincial team members involved to COVID-19 pandemic.",1,1,1,1,1,0,"In C19RM application approved 650,000 US$ to use procurement of 3 GeneXpert 16 module, cartridge and patient support. Till date 4 GeneXpert were involved with C-19 diagnosis and it has planned to involve other 10 system in provinces",1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Afghanistan",2021,"AF","AFG",4,"EMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Afghanistan",2023,"AF","AFG",4,"EMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,6,231,230,6,6,6,6,6,"Ministries not engaged, except ministry of education some extent engaged in education about tuberculosis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Angola",2020,"AO","AGO",24,"AFR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,"Les nouveaux GeneXpert pour le diagnostic de la TB ont été provisoirement mis à la disposition de la réponse au COVID-19; ils sont pas à l' attente des cartouches appropriés avant de devenir opérationnels.",1,1,1,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Angola",2022,"AO","AGO",24,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,0,NA,0,NA,3,1,3,1,1
"10","Angola",2023,"AO","AGO",24,"AFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,6,231,6,232,6,6,6,6,NA,1,NA,1,1,0,NA,0,0,NA,3,1,3,1,1
"11","Anguilla",2020,"AI","AIA",660,"AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
