"","country","iso3","g.whoregion","row.rank","year","drs.record.type","all.areas.covered","area.desc","surv.quality","mdr.new","mdr.ret","mdr.unk","xpert.dr.r.new","xpert.dr.r.ret","rr.new","rr.ret","mdr.dst.rlt","mdr.ds.fq2li","mdr.dr.fq","mdr.dr.2li","xdr","rr.dst.rlt","rr.ds.fq2li","rr.dr.fq","rr.dr.2li","rr.dr.fq.2li","rr.dst.rlt.fq","rr.fqr","rr.fqr.pcnt","rr.fqr.pcnt.lo","rr.fqr.pcnt.hi","rs.hr.dst.rlt.fq","rs.hr.fqr.pcnt","rs.hr.fqr.pcnt.lo","rs.hr.fqr.pcnt.hi"
"1","Aruba","ABW","AMR",1,2021,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"2","Albania","ALB","EUR",1,2010,"Surveillance",1,NA,"A",1,1,0,NA,NA,NA,NA,2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Andorra","AND","EUR",1,2017,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Andorra","AND","EUR",2,2016,"Surveillance",1,NA,"A",0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Andorra","AND","EUR",3,2015,"Surveillance",1,NA,"A",0,0,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Andorra","AND","EUR",4,2014,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Andorra","AND","EUR",5,2013,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Andorra","AND","EUR",6,2011,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Andorra","AND","EUR",7,2010,"Surveillance",1,NA,"A",0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Andorra","AND","EUR",8,2009,"Surveillance",1,NA,"A",0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","United Arab Emirates","ARE","EMR",1,2020,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"12","Armenia","ARM","EUR",1,2022,"Surveillance",1,NA,"A",33,19,NA,NA,NA,36,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,8,NA,NA,NA,NA,NA,NA,NA
"13","Armenia","ARM","EUR",2,2021,"Surveillance",1,NA,"A",42,18,NA,NA,NA,44,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,17,NA,NA,NA,NA,NA,NA,NA
"14","Armenia","ARM","EUR",3,2020,"Surveillance",1,NA,"A",26,23,NA,NA,NA,28,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,11,NA,NA,NA,NA,NA,NA,NA
"15","Armenia","ARM","EUR",4,2019,"Surveillance",1,NA,"A",33,23,NA,NA,NA,38,27,22,NA,NA,NA,12,NA,NA,NA,NA,NA,63,19,NA,NA,NA,NA,NA,NA,NA
"16","Armenia","ARM","EUR",5,2018,"Surveillance",1,NA,"N",43,33,NA,NA,NA,51,34,76,NA,NA,NA,14,85,38,18,43,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Armenia","ARM","EUR",6,2017,"Surveillance",1,NA,"A",40,41,NA,NA,NA,51,48,81,NA,NA,NA,13,98,58,20,33,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","American Samoa","ASM","WPR",1,2020,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"19","American Samoa","ASM","WPR",2,2019,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"20","Australia","AUS","WPR",1,2022,"Surveillance",1,NA,"N",13,1,NA,NA,NA,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,4,NA,NA,NA,NA,NA,NA,NA
"21","Australia","AUS","WPR",2,2021,"Surveillance",1,NA,"N",7,3,NA,NA,NA,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA
