"","country","iso3","g.whoregion","row.rank.new","year.new","source.new","all.areas.covered.new","area.desc.new","surv.quality.new","dst.rlt.new","mdr.new","mdr.new.pcnt","mdr.new.pcnt.lo","mdr.new.pcnt.hi","dr.r.nh.new","dr.r.nh.new.pcnt","dr.r.nh.new.pcnt.lo","dr.r.nh.new.pcnt.hi","xpert.new","xpert.dr.r.new","xpert.dr.r.new.pcnt","xpert.dr.r.new.pcnt.lo","xpert.dr.r.new.pcnt.hi","r.rlt.new","rr.new","rr.new.pcnt","rr.new.pcnt.lo","rr.new.pcnt.hi","dst.rlt.hr.new","dst.rlt.hr.new.pcnt","dst.rlt.hr.new.pcnt.lo","dst.rlt.hr.new.pcnt.hi","dst.rlt.rr.new","dst.rlt.rr.new.pcnt","dst.rlt.rr.new.pcnt.lo","dst.rlt.rr.new.pcnt.hi","dr.h.nr.new","dr.h.nr.new.pcnt","dr.h.nr.new.pcnt.lo","dr.h.nr.new.pcnt.hi"
"1","Aruba","ABW","AMR",1,2021,"Surveillance",1,NA,"N",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2","Angola","AGO","AFR",1,2022,"Surveillance",1,NA,"N",1242,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30981,1242,NA,NA,NA,1242,NA,NA,NA,1242,NA,NA,NA,NA,NA,NA,NA
"3","Albania","ALB","EUR",1,2022,"Surveillance",1,NA,"N",102,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,1,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"4","Albania","ALB","EUR",2,2021,"Surveillance",1,NA,"A",99,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,5,NA,NA,NA,7,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"5","Albania","ALB","EUR",3,2020,"Surveillance",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Albania","ALB","EUR",4,2012,"Surveillance",1,NA,"A",172,1,NA,NA,NA,3,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA
"7","Albania","ALB","EUR",5,2011,"Surveillance",1,NA,"A",194,2,NA,NA,NA,6,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
"8","Albania","ALB","EUR",6,2010,"Surveillance",1,NA,"A",186,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"9","Andorra","AND","EUR",1,2022,"Surveillance",1,NA,"N",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"10","Andorra","AND","EUR",2,2021,"Surveillance",1,NA,"N",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"11","Andorra","AND","EUR",3,2020,"Surveillance",1,NA,"N",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
