"","country","iso3","g.whoregion","row.rank.ret","year.ret","source.ret","all.areas.covered.ret","area.desc.ret","surv.quality.ret","dst.rlt.ret","mdr.ret","mdr.ret.pcnt","mdr.ret.pcnt.lo","mdr.ret.pcnt.hi","dr.r.nh.ret","dr.r.nh.ret.pcnt","dr.r.nh.ret.pcnt.lo","dr.r.nh.ret.pcnt.hi","xpert.ret","xpert.dr.r.ret","xpert.dr.r.ret.pcnt","xpert.dr.r.ret.pcnt.lo","xpert.dr.r.ret.pcnt.hi","r.rlt.ret","rr.ret","rr.ret.pcnt","rr.ret.pcnt.lo","rr.ret.pcnt.hi","dst.rlt.hr.ret","dst.rlt.hr.ret.pcnt","dst.rlt.hr.ret.pcnt.lo","dst.rlt.hr.ret.pcnt.hi","dst.rlt.rr.ret","dst.rlt.rr.ret.pcnt","dst.rlt.rr.ret.pcnt.lo","dst.rlt.rr.ret.pcnt.hi","dr.h.nr.ret","dr.h.nr.ret.pcnt","dr.h.nr.ret.pcnt.lo","dr.h.nr.ret.pcnt.hi"
"1","Afghanistan","AFG","EMR",1,2020,"Surveillance",1,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Afghanistan","AFG","EMR",2,2019,"Surveillance",1,NA,"R",20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,918,221,NA,NA,NA,20,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
"3","Afghanistan","AFG","EMR",3,2018,"Surveillance",1,NA,"R",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1628,199,NA,NA,NA,10,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"4","Albania","ALB","EUR",1,2021,"Surveillance",1,NA,"A",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"5","Albania","ALB","EUR",2,2020,"Surveillance",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Albania","ALB","EUR",3,2012,"Surveillance",1,NA,"A",15,0,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"7","Albania","ALB","EUR",4,2011,"Surveillance",1,NA,"A",11,3,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"8","Albania","ALB","EUR",5,2010,"Surveillance",1,NA,"A",19,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"9","Andorra","AND","EUR",1,2017,"Surveillance",1,NA,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"10","Andorra","AND","EUR",2,2016,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"11","Andorra","AND","EUR",3,2015,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"12","Andorra","AND","EUR",4,2014,"Surveillance",1,NA,"A",1,0,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"13","Andorra","AND","EUR",5,2013,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"14","Andorra","AND","EUR",6,2011,"Surveillance",1,NA,"A",1,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"15","Andorra","AND","EUR",7,2010,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"16","Andorra","AND","EUR",8,2009,"Surveillance",1,NA,"A",1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"17","Andorra","AND","EUR",9,2008,"Surveillance",1,NA,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"18","Andorra","AND","EUR",10,2007,"pre-2010 TME data collection",1,NA,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Andorra","AND","EUR",11,2006,"pre-2010 TME data collection",1,NA,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Andorra","AND","EUR",12,2000,"Surveillance",1,NA,"A",1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"21","United Arab Emirates","ARE","EMR",1,2021,"Surveillance",1,NA,"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"22","United Arab Emirates","ARE","EMR",2,2019,"Surveillance",1,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"23","United Arab Emirates","ARE","EMR",3,2018,"Surveillance",1,NA,"R",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"24","United Arab Emirates","ARE","EMR",4,2017,"Surveillance",1,NA,"R",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"25","United Arab Emirates","ARE","EMR",5,2013,"Surveillance",1,NA,"R",5,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"26","Argentina","ARG","AMR",1,2005,"Survey",1,NA,"A",136,NA,15.44,9.82,22.63,NA,2.94,0.81,7.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94,0.81,7.36
"27","Argentina","ARG","AMR",2,1999,"Survey",1,NA,"A",149,NA,9.4,5.23,15.26,NA,0.67,0.02,3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.71,3.27,12
"28","Armenia","ARM","EUR",1,2022,"Surveillance",1,NA,"A",46,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,20,NA,NA,NA,26,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
"29","Armenia","ARM","EUR",2,2021,"Surveillance",1,NA,"A",47,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,20,NA,NA,NA,18,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
"30","Armenia","ARM","EUR",3,2020,"Surveillance",1,NA,"A",45,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,24,NA,NA,NA,29,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
